jugador_x;jugador_y;bala1_x;bala1_y;bala2_x;bala2_y;salto;movimiento
120;300;495;310;40;370;0;derecha
138;300;492;310;40;372;0;derecha
136;300;489;310;40;374;0;derecha
134;300;486;310;40;376;0;derecha
132;300;483;310;40;378;0;derecha
130;300;480;310;40;380;0;derecha
128;300;477;310;40;382;0;derecha
126;300;474;310;40;384;0;derecha
124;300;471;310;40;386;0;derecha
122;300;468;310;40;388;0;derecha
120;300;465;310;40;390;0;derecha
118;300;462;310;40;392;0;derecha
116;300;459;310;40;394;0;derecha
114;300;456;310;40;396;0;derecha
112;300;453;310;40;398;0;derecha
110;300;450;310;40;400;0;derecha
108;300;447;310;50;0;0;derecha
106;300;444;310;40;2;0;derecha
104;300;441;310;40;4;0;derecha
102;300;438;310;40;6;0;derecha
100;300;435;310;40;8;0;derecha
118;300;432;310;40;10;0;derecha
136;300;429;310;40;12;0;derecha
134;300;426;310;40;14;0;derecha
132;300;423;310;40;16;0;derecha
130;300;420;310;40;18;0;derecha
128;300;417;310;40;20;0;derecha
126;300;414;310;40;22;0;derecha
124;300;411;310;40;24;0;derecha
122;300;408;310;40;26;0;derecha
120;300;405;310;40;28;0;derecha
118;300;402;310;40;30;0;derecha
116;300;399;310;40;32;0;derecha
114;300;396;310;40;34;0;derecha
112;300;393;310;40;36;0;derecha
110;300;390;310;40;38;0;derecha
108;300;387;310;40;40;0;derecha
106;300;384;310;40;42;0;derecha
104;300;381;310;40;44;0;derecha
102;300;378;310;40;46;0;derecha
100;300;375;310;40;48;0;derecha
98;300;372;310;40;50;0;derecha
96;300;369;310;40;52;0;derecha
94;300;366;310;40;54;0;derecha
92;300;363;310;40;56;0;derecha
90;300;360;310;40;58;0;derecha
88;300;357;310;40;60;0;derecha
86;300;354;310;40;62;0;derecha
84;300;351;310;40;64;0;derecha
82;300;348;310;40;66;0;derecha
100;300;345;310;40;68;0;derecha
118;300;342;310;40;70;0;derecha
136;300;339;310;40;72;0;derecha
134;300;336;310;40;74;0;derecha
132;300;333;310;40;76;0;derecha
130;300;330;310;40;78;0;derecha
128;300;327;310;40;80;0;derecha
126;300;324;310;40;82;0;derecha
124;300;321;310;40;84;0;derecha
122;300;318;310;40;86;0;derecha
120;300;315;310;40;88;0;derecha
118;300;312;310;40;90;0;derecha
116;300;309;310;40;92;0;derecha
114;300;306;310;40;94;0;derecha
112;300;303;310;40;96;0;derecha
110;300;300;310;40;98;0;derecha
108;300;297;310;40;100;0;derecha
106;300;294;310;40;102;0;derecha
104;300;291;310;40;104;0;derecha
102;300;288;310;40;106;0;derecha
100;300;285;310;40;108;0;derecha
98;300;282;310;40;110;0;derecha
96;300;279;310;40;112;0;derecha
94;300;276;310;40;114;0;derecha
92;300;273;310;40;116;0;derecha
90;300;270;310;40;118;0;derecha
88;300;267;310;40;120;0;derecha
86;300;264;310;40;122;0;derecha
84;300;261;310;40;124;0;derecha
82;300;258;310;40;126;0;derecha
80;300;255;310;40;128;0;derecha
78;300;252;310;40;130;0;derecha
76;300;249;310;40;132;0;derecha
74;300;246;310;40;134;0;derecha
72;300;243;310;40;136;0;derecha
70;300;240;310;40;138;0;derecha
68;300;237;310;40;140;0;derecha
66;300;234;310;40;142;0;derecha
64;300;231;310;40;144;0;derecha
62;300;228;310;40;146;0;derecha
80;300;225;310;40;148;0;derecha
98;300;222;310;40;150;0;derecha
116;300;219;310;40;152;0;derecha
134;300;216;310;40;154;0;derecha
132;300;213;310;40;156;0;derecha
130;300;210;310;40;158;0;derecha
128;300;207;310;40;160;0;derecha
126;300;204;310;40;162;0;derecha
124;300;201;310;40;164;0;derecha
122;300;198;310;40;166;0;derecha
120;300;195;310;40;168;0;derecha
118;300;192;310;40;170;0;derecha
116;300;189;310;40;172;0;derecha
114;300;186;310;40;174;0;derecha
112;300;183;310;40;176;0;derecha
110;300;180;310;40;178;0;derecha
108;300;177;310;40;180;0;derecha
106;300;174;310;40;182;0;derecha
104;300;171;310;40;184;0;derecha
102;300;168;310;40;186;0;derecha
100;300;165;310;40;188;0;derecha
98;300;162;310;40;190;0;derecha
96;300;159;310;40;192;0;derecha
94;285;156;310;40;194;1;derecha
